              Procedure           Image            Address        Calls Instructions
                  _exit       libc.so.6       7f6c5092d730            1            6
       __call_tls_dtors       libc.so.6       7f6c508a0e20            1           11
         __cxa_finalize       libc.so.6       7f6c508a0ad0            1           58
           __cxa_atexit       libc.so.6       7f6c508a0ac0            1            2
                   exit       libc.so.6       7f6c508a0730            1            5
                _setjmp       libc.so.6       7f6c5089da10            1            2
            __sigsetjmp       libc.so.6       7f6c5089d970            1           26
           __ctype_init       libc.so.6       7f6c50896a60            1           16
      __libc_start_main       libc.so.6       7f6c50888be0            1           57
                  _init       libc.so.6       7f6c50888b50            1           21
                   @plt       libc.so.6       7f6c508872b0            1            1
    _dl_catch_exception ld-linux-x86-64.so.2       7f6c65642910            2           68
                   free ld-linux-x86-64.so.2       7f6c65642300            1            4
                 calloc ld-linux-x86-64.so.2       7f6c656422c0            9           72
                 malloc ld-linux-x86-64.so.2       7f6c656421a0           18          458
      __tunable_get_val ld-linux-x86-64.so.2       7f6c6563fbf0            8          150
  _dl_allocate_tls_init ld-linux-x86-64.so.2       7f6c6563aa80            1           86
        _dl_debug_state ld-linux-x86-64.so.2       7f6c65638560            2            2
                  .text ld-linux-x86-64.so.2       7f6c65629090            1         4523
               .plt.got ld-linux-x86-64.so.2       7f6c65629080            1            1
             calloc@plt ld-linux-x86-64.so.2       7f6c65629040            9            9
             malloc@plt ld-linux-x86-64.so.2       7f6c65629020           18           18
_dl_catch_exception@plt ld-linux-x86-64.so.2       7f6c65629010            2            2
                  _fini           a.out       55efb33f31b4            1            3
        __libc_csu_init           a.out       55efb33f3150            1           33
                   main           a.out       55efb33f3125            1            9
            frame_dummy           a.out       55efb33f3120            1            1
  __do_global_dtors_aux           a.out       55efb33f30e0            1           12
     register_tm_clones           a.out       55efb33f30a0            1           10
   deregister_tm_clones           a.out       55efb33f3070            1            5
                 _start           a.out       55efb33f3040            1           11
               .plt.got           a.out       55efb33f3030            1            1
                  _init           a.out       55efb33f3000            1            6
